CO_PROCEDIMENTO,CO_CID,ST_PRINCIPAL,DT_COMPETENCIA
0201010321,M058,S,202306
0201010321,M059,S,202306
0201010321,M060,S,202306
0201010321,M061,S,202306
0201010321,M062,S,202306
0201010321,M063,S,202306
0201010321,M064,S,202306
0201010321,M068,S,202306
0201010321,M069,S,202306
0201010321,M070,S,202306
0201010321,M071,S,202306
0201010321,M072,S,202306
0201010321,M073,S,202306
0201010321,M074,S,202306
0201010321,M075,S,202306
0201010321,M076,S,202306
0201010321,M080,S,202306
0201010321,M083,S,202306
0201010321,M088,S,202306
0201010321,M089,S,202306
0201010321,M100,S,202306
0201010321,M101,S,202306
0201010321,M102,S,202306
0201010321,M103,S,202306
0201010321,M104,S,202306
0201010321,M109,S,202306
0201010321,M110,S,202306
0201010321,M111,S,202306
0201010321,M112,S,202306
0201010321,M118,S,202306
0201010321,M119,S,202306
0201010321,M120,S,202306
0201010321,M121,S,202306
0201010321,M122,S,202306
0201010321,M123,S,202306
0201010321,M124,S,202306
0201010321,M128,S,202306
0201010321,M130,S,202306
0201010321,M131,S,202306
0201010321,M138,S,202306
0201010321,M139,S,202306
0201010321,M140,S,202306
0201010321,M141,S,202306
0201010321,M142,S,202306
0201010321,M144,S,202306
0201010321,M145,S,202306
0201010321,M146,S,202306
0201010321,M148,S,202306
0201010321,M159,S,202306
0201010321,M170,S,202306
0201010321,M171,S,202306
0201010321,M172,S,202306
0201010321,M173,S,202306
0201010321,M174,S,202306
0201010321,M175,S,202306
0201010321,M179,S,202306
0201010321,M220,S,202306
0201010321,M221,S,202306
0201010321,M222,S,202306
0201010321,M223,S,202306
0201010321,M224,S,202306
0201010321,M228,S,202306
0201010321,M229,S,202306
0201010321,M230,S,202306
0201010321,M231,S,202306
0201010321,M232,S,202306
0201010321,M233,S,202306
0201010321,M234,S,202306
0201010321,M235,S,202306
0201010321,M236,S,202306
0201010321,M238,S,202306
0201010321,M239,S,202306
0201010321,M250,S,202306
0201010321,M253,S,202306
0201010321,M254,S,202306
0201010321,M258,S,202306
0201010321,M259,S,202306
0201010321,M362,S,202306
0201010321,M363,S,202306
0201010321,M658,S,202306
0201010321,M659,S,202306
0201010321,M672,S,202306
0201010321,M678,S,202306
0201010321,M679,S,202306
0201010321,M862,S,202306
0201010321,M863,S,202306
0201010321,M864,S,202306
0201010321,M865,S,202306
0201010321,M866,S,202306
0201010321,M893,S,202306
0201010321,M898,S,202306
0201010321,M932,S,202306
0201010321,M938,S,202306
0201010321,M939,S,202306
0201010321,M948,S,202306
0201010321,M949,S,202306
0201010321,R224,S,202306
0201010321,S724,S,202306
0201010321,S781,S,202306
0201010321,S789,S,202306
0201010321,S820,S,202306
0201010321,S821,S,202306
0201010321,S832,S,202306
0201010321,S833,S,202306
0201010321,S834,S,202306
0201010321,S835,S,202306
0201010321,S836,S,202306
0201010321,S837,S,202306
0201010321,T844,S,202306
0201010321,T845,S,202306
0201010321,T846,S,202306
0201010321,T847,S,202306
0201010321,T848,S,202306
0201010321,T849,S,202306
0201010330,C400,S,202306
0201010330,C401,S,202306
0201010330,C408,S,202306
